,Datetime,Close,High,Low,Open,Volume
0,2016-04-15 06:35:00,90.84,90.84,90.84,90.84,1129
1,2016-04-15 06:40:00,91.39,91.39,90.98,91.05,5700
2,2016-04-15 06:45:00,91.56,91.64,91.52,91.62,4300
3,2016-04-15 06:50:00,91.49,91.74,91.44,91.51,7700
4,2016-04-15 06:55:00,91.56,91.63,91.48,91.51,5300
5,2016-04-15 07:00:00,91.63,91.74,91.5,91.57,28619
6,2016-04-15 07:05:00,91.7,91.75,91.59,91.665,22690
7,2016-04-15 07:10:00,91.6,91.7,91.6,91.7,3500
8,2016-04-15 07:15:00,91.66,91.755,91.58,91.61,9098
9,2016-04-15 07:20:00,91.63,91.67,91.58,91.62,11288
10,2016-04-15 07:25:00,91.57,91.66,91.57,91.655,5600
11,2016-04-15 07:30:00,91.62,91.63,91.57,91.615,3700
12,2016-04-15 07:35:00,91.615,91.7799,91.58,91.62,15367
13,2016-04-15 07:40:00,91.595,91.71,91.59,91.6,3700
14,2016-04-15 07:45:00,91.59,91.625,91.57,91.62,3400
15,2016-04-15 07:50:00,91.62,91.71,91.56,91.62,5194
16,2016-04-15 07:55:00,91.57,91.61,91.51,91.61,2800
17,2016-04-15 08:00:00,91.62,91.62,91.57,91.57,1660
18,2016-04-15 08:05:00,91.59,91.645,91.56,91.61,9290
19,2016-04-15 08:10:00,91.59,91.6,91.54,91.6,2400
20,2016-04-15 08:15:00,91.58,91.62,91.56,91.58,5520
21,2016-04-15 08:20:00,91.6,91.61,91.58,91.58,2700
22,2016-04-15 08:25:00,91.6,91.62,91.58,91.61,11250
23,2016-04-15 08:30:00,91.57,91.62,91.54,91.62,5200
24,2016-04-15 08:35:00,91.52,91.62,91.52,91.61,2095
25,2016-04-15 08:40:00,91.56,91.6,91.51,91.51,3500
26,2016-04-15 08:45:00,91.62,91.65,91.5895,91.5895,5440
27,2016-04-15 08:50:00,91.61,91.63,91.57,91.62,6400
28,2016-04-15 08:55:00,91.58,91.65,91.55,91.61,10737
29,2016-04-15 09:00:00,91.59,91.61,91.56,91.6,2300
30,2016-04-15 09:05:00,91.61,91.64,91.57,91.59,10519
31,2016-04-15 09:10:00,91.65,91.65,91.6,91.62,9843
32,2016-04-15 09:15:00,91.62,91.655,91.6,91.655,4600
33,2016-04-15 09:20:00,91.7,91.71,91.58,91.63,4556
34,2016-04-15 09:25:00,91.62,91.705,91.62,91.69,3200
35,2016-04-15 09:30:00,91.65,91.68,91.61,91.63,4500
36,2016-04-15 09:35:00,91.68,91.74,91.63,91.67,9525
37,2016-04-15 09:40:00,91.66,91.7,91.65,91.68,6900
38,2016-04-15 09:45:00,91.65,91.68,91.6,91.67,15891
39,2016-04-15 09:50:00,91.71,91.74,91.66,91.67,11900
40,2016-04-15 09:55:00,91.65,91.72,91.65,91.72,6602
41,2016-04-15 10:00:00,91.69,91.71,91.67,91.7,3703
42,2016-04-15 10:05:00,91.69,91.72,91.67,91.7,7591
43,2016-04-15 10:10:00,91.61,91.72,91.58,91.69,12400
44,2016-04-15 10:15:00,91.6,91.605,91.54,91.6,2800
45,2016-04-15 10:20:00,91.57,91.67,91.57,91.605,7600
46,2016-04-15 10:25:00,91.62,91.69,91.6,91.6,6686
47,2016-04-15 10:30:00,91.65,91.69,91.63,91.67,6000
48,2016-04-15 10:35:00,91.69,91.71,91.65,91.67,7855
49,2016-04-15 10:40:00,91.6,91.71,91.6,91.7,9200
50,2016-04-15 10:45:00,91.62,91.68,91.62,91.62,3400
51,2016-04-15 10:50:00,91.67,91.68,91.65,91.66,4050
52,2016-04-15 10:55:00,91.65,91.7,91.6199,91.68,8913
53,2016-04-15 11:00:00,91.645,91.7,91.63,91.65,4500
54,2016-04-15 11:05:00,91.68,91.69,91.62,91.645,24913
55,2016-04-15 11:10:00,91.68,91.68,91.64,91.66,5800
56,2016-04-15 11:15:00,91.65,91.69,91.63,91.69,10268
57,2016-04-15 11:20:00,91.66,91.69,91.66,91.67,6800
58,2016-04-15 11:25:00,91.67,91.68,91.65,91.66,5000
59,2016-04-15 11:30:00,91.685,91.69,91.67,91.68,6100
60,2016-04-15 11:35:00,91.68,91.69,91.66,91.685,5854
61,2016-04-15 11:40:00,91.69,91.7,91.67,91.69,9242
62,2016-04-15 11:45:00,91.63,91.7,91.62,91.69,14581
63,2016-04-15 11:50:00,91.65,91.686,91.62,91.65,6300
64,2016-04-15 11:55:00,91.68,91.68,91.65,91.65,6607
65,2016-04-15 12:00:00,91.68,91.7,91.66,91.69,13363
66,2016-04-15 12:05:00,91.67,91.685,91.6,91.685,15554
67,2016-04-15 12:10:00,91.6,91.675,91.57,91.67,12800
68,2016-04-15 12:15:00,91.6,91.63,91.58,91.6,4433
69,2016-04-15 12:20:00,91.59,91.635,91.58,91.62,3550
70,2016-04-15 12:25:00,91.65,91.69,91.61,91.61,28461
71,2016-04-15 12:30:00,91.66,91.7,91.61,91.69,8488
72,2016-04-15 12:35:00,91.6,91.685,91.58,91.66,20164
73,2016-04-15 12:40:00,91.64,91.64,91.61,91.61,6105
74,2016-04-15 12:45:00,91.62,91.65,91.62,91.64,13769
75,2016-04-15 12:50:00,91.61,91.65,91.59,91.64,16501
76,2016-04-15 12:55:00,91.67,91.68,91.62,91.63,18276
77,2016-04-15 13:00:00,91.71,91.75,91.67,91.67,31742
78,2016-04-18 06:30:00,91.44,91.44,91.44,91.44,690
79,2016-04-18 06:35:00,91.27,91.27,91.27,91.27,100
80,2016-04-18 06:40:00,91.44,91.44,91.35,91.35,1340
81,2016-04-18 06:45:00,91.49,91.61,91.49,91.61,800
82,2016-04-18 06:50:00,91.37,91.47,91.23,91.42,1499
83,2016-04-18 06:55:00,91.58,91.59,91.5,91.5,1600
84,2016-04-18 07:00:00,91.54,91.54,91.54,91.54,100
85,2016-04-18 07:05:00,91.56,91.56,91.56,91.56,100
