,Datetime,Close,High,Low,Open,Volume
0,2016-04-15 09:15:00,5.415,5.415,5.415,5.415,150
1,2016-04-15 11:45:00,5.01,5.27,5.01,5.27,1150
2,2016-04-15 11:50:00,5,5.045,5,5,3980
3,2016-04-18 08:35:00,5.12,5.15,5.12,5.15,826
4,2016-04-18 10:50:00,5.1,5.1,5.1,5.1,500
5,2016-04-19 08:45:00,5.05,5.05,5.05,5.05,120
6,2016-04-19 13:00:00,4.75,4.75,4.75,4.75,100
7,2016-04-20 06:45:00,5.04,5.04,5.0399,5.0399,200
8,2016-04-20 07:40:00,5.05,5.05,5.05,5.05,300
9,2016-04-20 07:45:00,5.0499,5.05,5.0499,5.05,1000
10,2016-04-20 07:55:00,5.05,5.05,5.05,5.05,454
11,2016-04-20 08:15:00,5.0999,5.1,5.0999,5.1,952
12,2016-04-21 07:55:00,5,5.05,5,5.05,250
13,2016-04-21 08:35:00,5.022,5.022,5.022,5.022,100
14,2016-04-21 11:25:00,5.1,5.1,5.1,5.1,700
15,2016-04-22 11:15:00,5.221,5.221,5.221,5.221,150
16,2016-04-22 12:25:00,5.1801,5.1801,5.18,5.18,450
17,2016-04-25 07:25:00,5.1399,5.14,5.1399,5.14,300
18,2016-04-25 08:05:00,5.01,5.023,5.01,5.023,500
19,2016-04-25 11:20:00,5,5,5,5,109
20,2016-04-25 13:00:00,5.05,5.05,5.05,5.05,100
21,2016-04-26 09:20:00,5.1,5.1,5.1,5.1,100
22,2016-04-26 10:10:00,5.136,5.136,5.136,5.136,150
23,2016-04-26 10:15:00,5.1,5.12,5.1,5.12,657
24,2016-04-26 10:20:00,5.1,5.1,5.1,5.1,250
25,2016-04-27 07:00:00,5.0001,5.1,5,5.1,1382
26,2016-04-27 09:50:00,5.1,5.1,5.1,5.1,429
27,2016-04-27 10:00:00,5,5,5,5,340
28,2016-04-27 10:25:00,5,5,5,5,179
29,2016-04-27 10:35:00,5,5,5,5,500
30,2016-04-27 11:20:00,5,5,5,5,400
31,2016-04-27 12:00:00,5,5,5,5,1200
32,2016-04-28 09:20:00,5.11,5.11,5.11,5.11,200
33,2016-04-28 09:40:00,5.095,5.095,5.095,5.095,150
34,2016-04-28 09:55:00,5.07,5.07,5.07,5.07,100
