,Datetime,Close,High,Low,Open,Volume
0,2016-04-15 06:30:00,4.47,4.47,4.47,4.47,7443
1,2016-04-15 06:45:00,4.51,4.51,4.49,4.49,998
2,2016-04-15 06:50:00,4.53,4.54,4.52,4.52,1000
3,2016-04-15 06:55:00,4.5,4.5,4.48,4.5,1000
4,2016-04-15 07:00:00,4.52,4.54,4.4899,4.49,1300
5,2016-04-15 07:05:00,4.5,4.53,4.5,4.53,400
6,2016-04-15 07:10:00,4.5,4.5,4.5,4.5,1100
7,2016-04-15 07:15:00,4.52,4.52,4.52,4.52,100
8,2016-04-15 07:20:00,4.52,4.52,4.52,4.52,100
9,2016-04-15 07:25:00,4.53,4.53,4.52,4.52,300
10,2016-04-15 07:30:00,4.525,4.525,4.52,4.52,2300
11,2016-04-15 07:35:00,4.5,4.525,4.5,4.52,2100
12,2016-04-15 07:45:00,4.52,4.52,4.52,4.52,100
13,2016-04-15 07:50:00,4.52,4.52,4.5,4.5,400
14,2016-04-15 08:00:00,4.51,4.51,4.51,4.51,500
15,2016-04-15 08:10:00,4.52,4.525,4.51,4.52,4357
16,2016-04-15 08:15:00,4.52,4.52,4.52,4.52,200
17,2016-04-15 08:20:00,4.5,4.53,4.495,4.53,3784
18,2016-04-15 08:25:00,4.495,4.495,4.495,4.495,100
19,2016-04-15 08:30:00,4.51,4.51,4.5,4.5,1600
20,2016-04-15 08:35:00,4.52,4.52,4.52,4.52,100
21,2016-04-15 08:40:00,4.51,4.52,4.51,4.52,300
22,2016-04-15 08:45:00,4.51,4.51,4.51,4.51,100
23,2016-04-15 08:50:00,4.5,4.52,4.49,4.52,1500
24,2016-04-15 09:00:00,4.5,4.5,4.5,4.5,800
25,2016-04-15 09:10:00,4.51,4.51,4.49,4.5,300
26,2016-04-15 09:15:00,4.5,4.5,4.5,4.5,100
27,2016-04-15 09:20:00,4.5,4.5,4.49,4.5,400
28,2016-04-15 09:25:00,4.495,4.5,4.49,4.5,1209
29,2016-04-15 09:30:00,4.49,4.5,4.49,4.5,500
30,2016-04-15 09:35:00,4.5,4.5,4.49,4.5,800
31,2016-04-15 09:40:00,4.495,4.5,4.49,4.5,500
32,2016-04-15 09:45:00,4.4999,4.4999,4.4999,4.4999,100
33,2016-04-15 09:50:00,4.5,4.5,4.49,4.5,300
34,2016-04-15 10:00:00,4.49,4.5,4.49,4.495,400
35,2016-04-15 10:05:00,4.495,4.5,4.49,4.5,300
36,2016-04-15 10:10:00,4.495,4.5,4.49,4.5,680
37,2016-04-15 10:20:00,4.5,4.51,4.49,4.5,2700
38,2016-04-15 10:25:00,4.5,4.5,4.49,4.5,1400
39,2016-04-15 10:30:00,4.5,4.5,4.49,4.5,1125
40,2016-04-15 10:35:00,4.475,4.5,4.47,4.5,4100
41,2016-04-15 10:40:00,4.4772,4.48,4.4772,4.48,600
42,2016-04-15 10:45:00,4.475,4.475,4.47,4.475,2200
43,2016-04-15 10:50:00,4.475,4.48,4.47,4.48,3300
44,2016-04-15 10:55:00,4.49,4.49,4.48,4.48,1400
45,2016-04-15 11:00:00,4.5,4.51,4.49,4.5,900
46,2016-04-15 11:10:00,4.53,4.53,4.51,4.51,300
47,2016-04-15 11:15:00,4.49,4.52,4.49,4.52,11788
48,2016-04-15 11:20:00,4.5,4.51,4.5,4.51,400
49,2016-04-15 11:30:00,4.505,4.505,4.505,4.505,100
50,2016-04-15 11:35:00,4.51,4.51,4.51,4.51,100
51,2016-04-15 11:40:00,4.51,4.51,4.51,4.51,200
52,2016-04-15 11:45:00,4.515,4.515,4.5,4.51,1800
53,2016-04-15 11:50:00,4.51,4.53,4.51,4.53,300
54,2016-04-15 12:00:00,4.5,4.51,4.5,4.51,500
55,2016-04-15 12:05:00,4.5,4.5,4.5,4.5,100
56,2016-04-15 12:10:00,4.5,4.51,4.48,4.51,5621
57,2016-04-15 12:15:00,4.509,4.509,4.509,4.509,124
58,2016-04-15 12:20:00,4.5,4.51,4.5,4.51,1987
59,2016-04-15 12:25:00,4.5,4.5,4.4995,4.5,4770
60,2016-04-15 12:30:00,4.51,4.51,4.505,4.51,300
61,2016-04-15 12:35:00,4.51,4.51,4.51,4.51,200
62,2016-04-15 12:40:00,4.515,4.52,4.51,4.51,2500
63,2016-04-15 12:45:00,4.52,4.52,4.52,4.52,100
64,2016-04-15 12:50:00,4.505,4.52,4.5,4.52,711
65,2016-04-15 12:55:00,4.5,4.51,4.5,4.505,2397
66,2016-04-15 13:00:00,4.5,4.51,4.5,4.5,10208
67,2016-04-18 06:30:00,4.42,4.42,4.42,4.42,5983
68,2016-04-18 06:35:00,4.4427,4.4427,4.4427,4.4427,2000
69,2016-04-18 06:40:00,4.4378,4.4378,4.4296,4.4296,572
70,2016-04-18 06:45:00,4.44,4.44,4.44,4.44,100
71,2016-04-18 06:50:00,4.44,4.44,4.43,4.44,400
72,2016-04-18 06:55:00,4.45,4.45,4.45,4.45,100
73,2016-04-18 07:00:00,4.45,4.45,4.45,4.45,100
74,2016-04-18 07:05:00,4.43,4.43,4.43,4.43,100
75,2016-04-18 07:15:00,4.45,4.45,4.45,4.45,100
76,2016-04-18 07:20:00,4.43,4.43,4.43,4.43,200
77,2016-04-18 07:30:00,4.44,4.45,4.44,4.45,500
78,2016-04-18 07:35:00,4.445,4.445,4.445,4.445,100
79,2016-04-18 07:40:00,4.44,4.44,4.44,4.44,100
80,2016-04-18 07:45:00,4.4431,4.4431,4.44,4.44,1262
81,2016-04-18 07:50:00,4.44,4.45,4.44,4.45,600
82,2016-04-18 07:55:00,4.467,4.467,4.467,4.467,175
83,2016-04-18 08:05:00,4.46,4.46,4.45,4.45,400
84,2016-04-18 08:10:00,4.46,4.46,4.46,4.46,100
85,2016-04-18 08:20:00,4.5,4.5,4.47,4.47,1100
86,2016-04-18 08:25:00,4.4976,4.5,4.4976,4.5,2316
87,2016-04-18 08:35:00,4.51,4.51,4.51,4.51,200
88,2016-04-18 08:40:00,4.51,4.51,4.51,4.51,300
89,2016-04-18 08:45:00,4.56,4.56,4.53,4.53,3561
90,2016-04-18 08:50:00,4.565,4.57,4.56,4.57,400
91,2016-04-18 08:55:00,4.56,4.56,4.55,4.56,7361
92,2016-04-18 09:05:00,4.56,4.56,4.56,4.56,800
93,2016-04-18 09:10:00,4.56,4.56,4.56,4.56,100
94,2016-04-18 09:15:00,4.57,4.57,4.55,4.55,8902
95,2016-04-18 09:25:00,4.59,4.59,4.59,4.59,200
96,2016-04-18 09:40:00,4.58,4.59,4.58,4.59,400
97,2016-04-18 09:45:00,4.59,4.59,4.59,4.59,500
98,2016-04-18 09:50:00,4.59,4.59,4.59,4.59,100
99,2016-04-18 09:55:00,4.59,4.59,4.58,4.58,500
100,2016-04-18 10:00:00,4.59,4.59,4.59,4.59,200
101,2016-04-18 10:05:00,4.59,4.59,4.59,4.59,400
102,2016-04-18 10:10:00,4.6221,4.6221,4.59,4.59,17231
103,2016-04-18 10:15:00,4.63,4.63,4.63,4.63,100
104,2016-04-18 10:20:00,4.64,4.64,4.64,4.64,100
105,2016-04-18 10:25:00,4.64,4.64,4.64,4.64,354
106,2016-04-18 10:30:00,4.64,4.64,4.64,4.64,300
107,2016-04-18 10:35:00,4.65,4.65,4.65,4.65,400
108,2016-04-18 10:40:00,4.65,4.65,4.65,4.65,100
109,2016-04-18 10:45:00,4.64,4.65,4.64,4.65,300
110,2016-04-18 10:50:00,4.64,4.65,4.62,4.64,3300
111,2016-04-18 11:00:00,4.64,4.64,4.63,4.63,200
112,2016-04-18 11:05:00,4.64,4.64,4.63,4.64,400
113,2016-04-18 11:10:00,4.64,4.65,4.64,4.64,600
114,2016-04-18 11:15:00,4.645,4.65,4.64,4.64,1100
115,2016-04-18 11:20:00,4.65,4.65,4.64,4.64,500
116,2016-04-18 11:25:00,4.62,4.655,4.62,4.65,2400
117,2016-04-18 11:30:00,4.65,4.655,4.63,4.65,2200
118,2016-04-18 11:35:00,4.65,4.65,4.64,4.64,700
119,2016-04-18 11:40:00,4.67,4.67,4.63,4.64,1900
120,2016-04-18 11:45:00,4.63,4.67,4.63,4.67,2650
121,2016-04-18 11:50:00,4.66,4.66,4.63,4.65,1599
122,2016-04-18 11:55:00,4.66,4.67,4.65,4.6625,2644
123,2016-04-18 12:00:00,4.65,4.66,4.64,4.66,1500
124,2016-04-18 12:05:00,4.65,4.65,4.64,4.64,1200
125,2016-04-18 12:10:00,4.6208,4.65,4.61,4.64,4200
126,2016-04-18 12:15:00,4.6,4.6225,4.58,4.6225,3593
127,2016-04-18 12:20:00,4.61,4.62,4.6,4.61,3500
128,2016-04-18 12:25:00,4.63,4.63,4.62,4.62,300
