,Datetime,Close,High,Low,Open,Volume
0,2016-04-15 00:05:00,843,843,843,843,516
1,2016-04-15 00:10:00,842.5,842.5,842.5,842.5,321
2,2016-04-15 00:40:00,836.5,838,836.5,838,136
3,2016-04-15 00:50:00,837,837,836.5,836.5,88
4,2016-04-15 00:55:00,835.5,835.5,835.5,835.5,485
5,2016-04-15 01:00:00,836,836,836,836,158
6,2016-04-15 01:10:00,835,835,835,835,283
7,2016-04-15 01:25:00,832,832,831.5,831.5,468
8,2016-04-15 01:35:00,832,832,832,832,17
9,2016-04-15 01:55:00,831.5,831.5,831.5,831.5,105
10,2016-04-15 02:00:00,830.7875,830.7875,830.7875,830.7875,1070
11,2016-04-15 02:05:00,831,831,830.4445,830.4445,165
12,2016-04-15 02:10:00,832,832,831,831,358
13,2016-04-15 02:15:00,833,833,833,833,201
14,2016-04-15 02:20:00,833.5,833.5,833.5,833.5,141
15,2016-04-15 02:25:00,833,834.2455,833,834.2455,329
16,2016-04-15 02:30:00,833.25,833.25,833.25,833.25,56
17,2016-04-15 02:35:00,831.48,833,831.48,832.5,4624
18,2016-04-15 02:50:00,834.75,834.75,832.85,832.85,969
19,2016-04-15 03:00:00,835.375,835.375,835.375,835.375,96
20,2016-04-15 03:15:00,834.375,834.5,833.5,833.5,240
21,2016-04-15 03:20:00,833.5,833.5,833.5,833.5,646
22,2016-04-15 03:25:00,836.5,836.5,834.5,834.5,586
23,2016-04-15 03:30:00,834.5,838.5,834.5,837,880
24,2016-04-15 03:35:00,835.75,835.75,834,834,578
25,2016-04-15 03:40:00,835.5,838,835.5,836,246
26,2016-04-15 03:45:00,834,835,834,835,410
27,2016-04-15 03:50:00,833,834.5,833,834.5,317
28,2016-04-15 03:55:00,838.5,838.5,836,836,156
29,2016-04-15 04:00:00,839.5,839.5,838,838,248
30,2016-04-15 04:05:00,836,843,835,835,1206
31,2016-04-15 04:10:00,835.5,837.25,833,836.5,1043
32,2016-04-15 04:15:00,832,834.5,832,832,733
33,2016-04-15 04:20:00,831.5,831.5,831.5,831.5,6700
34,2016-04-15 04:25:00,831.9607,831.9607,831.9607,831.9607,450
35,2016-04-15 04:45:00,831.5,831.5,831.5,831.5,10000
36,2016-04-15 04:55:00,831.88,831.88,831.88,831.88,500
37,2016-04-15 05:35:00,833.5,833.5,833.5,833.5,815
38,2016-04-15 05:40:00,831.25,831.25,831.25,831.25,96
39,2016-04-15 05:45:00,831.3305,831.3305,831.3305,831.3305,357
40,2016-04-15 06:05:00,831.93,831.93,831.93,831.93,132
41,2016-04-15 06:10:00,826.5,830.5,826.5,830.5,974
42,2016-04-15 06:15:00,828,828,828,828,109
43,2016-04-15 06:25:00,827,827,827,827,239
44,2016-04-15 06:30:00,824.5,825.5,824.5,825.5,303
45,2016-04-15 06:35:00,823,823,823,823,191
46,2016-04-15 06:45:00,823.5,823.5,823.5,823.5,522
47,2016-04-15 06:50:00,820.5,822.5,820.5,822.5,678
48,2016-04-15 06:55:00,819.5,819.5,819.5,819.5,359
49,2016-04-15 07:00:00,819.5,819.5,818.5,818.5,307
50,2016-04-15 07:05:00,819.5,819.5,819.5,819.5,464
51,2016-04-15 07:10:00,817,818,816,818,573
52,2016-04-15 07:15:00,816.5,816.5,816.5,816.5,153
53,2016-04-15 07:20:00,816.5,816.5,816.5,816.5,96
54,2016-04-15 07:25:00,818.775,818.775,817.5,817.5,1676
55,2016-04-15 07:30:00,815.2875,818.5,815.2875,818.5,972
56,2016-04-15 07:35:00,816,816,815,815,95
57,2016-04-15 07:40:00,817.5,818,817,817,2423
58,2016-04-15 07:45:00,814,814,813.5,813.5,866
59,2016-04-15 07:50:00,813,813.5,813,813.5,593
60,2016-04-15 07:55:00,815,815,812,812,553
61,2016-04-15 08:00:00,816,816,816,816,70
62,2016-04-15 08:05:00,815,816,815,816,1270
63,2016-04-15 08:10:00,814.0275,814.0275,813.5,813.5,1376
64,2016-04-15 08:15:00,813.37,814,813.37,814,694
65,2016-04-15 08:20:00,812.5,814,811.5,814,873
66,2016-04-15 08:25:00,814.25,814.25,812.5,814,1014
67,2016-04-15 08:30:00,809.5,812.5,809,812.5,2383
68,2016-04-18 00:05:00,809.36,813,809.36,809.5,2939
69,2016-04-18 00:10:00,805,810,805,810,2368
70,2016-04-18 00:20:00,804.88,804.88,801,803,113
71,2016-04-18 00:35:00,805,805,804,804,172
72,2016-04-18 00:40:00,805.5,805.5,805.5,805.5,69
73,2016-04-18 00:45:00,805.3,805.3,805.3,805.3,314
74,2016-04-18 01:00:00,807,807,807,807,103
75,2016-04-18 01:05:00,810,810,808.5,808.5,303
76,2016-04-18 01:10:00,811.5,811.5,810,810.65,2018
77,2016-04-18 01:15:00,811.5,811.5,811.5,811.5,144
78,2016-04-18 01:20:00,808.5,810,808.5,810,1136
79,2016-04-18 01:35:00,808.5,808.5,808.5,808.5,335
80,2016-04-18 01:45:00,810.5,810.5,809.25,809.25,344
81,2016-04-18 01:50:00,811.5,811.5,811.5,811.5,119
82,2016-04-18 02:10:00,813,813,813,813,15
83,2016-04-18 02:20:00,811.5,811.5,811.5,811.5,64
84,2016-04-18 02:30:00,811.5,812,811.5,812,816
85,2016-04-18 02:40:00,809,810,809,810,944
86,2016-04-18 02:50:00,810,810,810,810,447
87,2016-04-18 03:10:00,811.5,811.5,811.5,811.5,277
88,2016-04-18 03:15:00,811.5,811.5,811.5,811.5,22
89,2016-04-18 03:35:00,811.25,811.25,811.25,811.25,81
90,2016-04-18 03:40:00,810.5,810.5,810.5,810.5,68
91,2016-04-18 03:45:00,806.5,807.14,806.5,806.5,129
92,2016-04-18 03:50:00,806.5,806.5,806.5,806.5,151
93,2016-04-18 04:00:00,804.5,806,804.5,806,613
94,2016-04-18 04:05:00,804.5,804.5,804.5,804.5,228
95,2016-04-18 04:10:00,804.5,804.5,804.5,804.5,229
96,2016-04-18 04:15:00,806,806,805,805,182
97,2016-04-18 04:20:00,805.4,805.5,805.4,805.5,343
98,2016-04-18 04:30:00,805,805,803.5,803.5,350
99,2016-04-18 04:35:00,806,806,806,806,52
100,2016-04-18 05:00:00,806.75,806.75,806,806,268
101,2016-04-18 05:05:00,806.75,806.75,806.75,806.75,183
102,2016-04-18 05:15:00,806.75,806.75,806.75,806.75,337
103,2016-04-18 05:50:00,807.5,807.5,807.5,807.5,292
