,Datetime,Close,High,Low,Open,Volume
0,2016-04-15 00:05:00,2.055,2.066,2.048,2.062,88170
1,2016-04-15 00:10:00,2.065,2.066,2.06,2.06,52624
2,2016-04-15 00:15:00,2.063,2.064,2.06,2.062,16503
3,2016-04-15 00:20:00,2.063,2.073,2.063,2.068,75320
4,2016-04-15 00:25:00,2.064,2.072,2.064,2.067,84449
5,2016-04-15 00:30:00,2.058,2.063,2.058,2.063,7261
6,2016-04-15 00:35:00,2.061,2.064,2.059,2.059,34183
7,2016-04-15 00:40:00,2.057,2.061,2.052,2.061,19021
8,2016-04-15 00:45:00,2.055,2.059,2.055,2.057,78468
9,2016-04-15 00:50:00,2.053,2.057,2.053,2.055,78228
10,2016-04-15 00:55:00,2.058,2.058,2.049,2.052,159337
11,2016-04-15 01:00:00,2.055,2.058,2.054,2.057,208486
12,2016-04-15 01:05:00,2.056,2.058,2.054,2.056,106427
13,2016-04-15 01:10:00,2.059,2.06,2.054,2.055,116930
14,2016-04-15 01:15:00,2.056,2.061,2.056,2.059,61796
15,2016-04-15 01:20:00,2.06,2.06,2.056,2.056,256353
16,2016-04-15 01:25:00,2.063,2.063,2.06,2.06,34291
17,2016-04-15 01:30:00,2.059,2.063,2.058,2.063,130338
18,2016-04-15 01:35:00,2.055,2.058,2.055,2.057,275440
19,2016-04-15 01:40:00,2.053,2.054,2.051,2.053,48660
20,2016-04-15 01:45:00,2.054,2.055,2.052,2.053,58079
21,2016-04-15 01:50:00,2.052,2.055,2.052,2.053,2046
22,2016-04-15 01:55:00,2.061,2.061,2.053,2.053,20195
23,2016-04-15 02:00:00,2.062,2.063,2.059,2.062,38624
24,2016-04-15 02:05:00,2.062,2.063,2.061,2.063,25338
25,2016-04-15 02:10:00,2.066,2.068,2.061,2.061,40415
26,2016-04-15 02:15:00,2.072,2.074,2.068,2.068,151282
27,2016-04-15 02:20:00,2.075,2.076,2.072,2.073,135222
28,2016-04-15 02:25:00,2.077,2.079,2.075,2.076,133680
29,2016-04-15 02:30:00,2.083,2.084,2.076,2.077,187692
30,2016-04-15 02:35:00,2.084,2.088,2.083,2.084,104741
31,2016-04-15 02:40:00,2.088,2.09,2.085,2.085,79020
32,2016-04-15 02:45:00,2.087,2.09,2.087,2.089,56873
33,2016-04-15 02:50:00,2.094,2.094,2.087,2.088,163443
34,2016-04-15 02:55:00,2.1,2.1,2.095,2.095,254438
35,2016-04-15 03:00:00,2.098,2.1,2.097,2.098,176568
36,2016-04-15 03:05:00,2.095,2.098,2.094,2.098,48775
37,2016-04-15 03:10:00,2.094,2.097,2.094,2.096,63157
38,2016-04-15 03:15:00,2.091,2.094,2.091,2.094,54801
39,2016-04-15 03:20:00,2.092,2.093,2.091,2.092,14120
40,2016-04-15 03:25:00,2.093,2.095,2.091,2.092,30798
41,2016-04-15 03:30:00,2.093,2.094,2.093,2.094,15373
42,2016-04-15 03:35:00,2.092,2.093,2.092,2.093,22453
43,2016-04-15 03:40:00,2.092,2.092,2.09,2.092,116510
44,2016-04-15 03:45:00,2.089,2.093,2.089,2.09,53927
45,2016-04-15 03:50:00,2.091,2.092,2.089,2.091,52194
46,2016-04-15 03:55:00,2.091,2.092,2.091,2.092,12807
47,2016-04-15 04:00:00,2.086,2.091,2.086,2.091,40796
48,2016-04-15 04:05:00,2.079,2.085,2.079,2.085,38331
49,2016-04-15 04:10:00,2.082,2.083,2.081,2.082,59200
50,2016-04-15 04:15:00,2.082,2.084,2.079,2.084,41604
51,2016-04-15 04:20:00,2.081,2.082,2.081,2.081,13341
52,2016-04-15 04:25:00,2.081,2.081,2.08,2.08,5571
53,2016-04-15 04:30:00,2.083,2.083,2.08,2.08,27104
54,2016-04-15 04:35:00,2.086,2.086,2.085,2.085,29809
55,2016-04-15 04:40:00,2.08,2.085,2.079,2.085,175499
56,2016-04-15 04:45:00,2.08,2.08,2.078,2.08,125349
57,2016-04-15 04:50:00,2.083,2.085,2.081,2.081,54797
58,2016-04-15 04:55:00,2.081,2.083,2.08,2.083,40752
59,2016-04-15 05:00:00,2.081,2.081,2.079,2.081,26969
60,2016-04-15 05:05:00,2.08,2.082,2.08,2.081,13509
61,2016-04-15 05:10:00,2.079,2.081,2.076,2.078,47447
62,2016-04-15 05:15:00,2.078,2.08,2.078,2.079,26696
63,2016-04-15 05:20:00,2.08,2.08,2.079,2.079,27930
64,2016-04-15 05:25:00,2.076,2.078,2.076,2.078,11515
65,2016-04-15 05:30:00,2.078,2.078,2.077,2.077,23473
66,2016-04-15 05:35:00,2.079,2.082,2.079,2.08,156979
67,2016-04-15 05:40:00,2.079,2.08,2.076,2.08,26403
68,2016-04-15 05:45:00,2.08,2.08,2.076,2.076,8470
69,2016-04-15 05:50:00,2.086,2.086,2.08,2.08,118666
70,2016-04-15 05:55:00,2.092,2.094,2.088,2.089,113148
71,2016-04-15 06:00:00,2.096,2.096,2.091,2.091,102638
72,2016-04-15 06:05:00,2.098,2.099,2.095,2.096,149009
73,2016-04-15 06:10:00,2.096,2.099,2.095,2.098,113837
74,2016-04-15 06:15:00,2.093,2.097,2.091,2.097,67558
75,2016-04-15 06:20:00,2.094,2.095,2.094,2.094,62507
76,2016-04-15 06:25:00,2.099,2.099,2.093,2.095,222618
77,2016-04-15 06:30:00,2.112,2.116,2.097,2.097,423214
78,2016-04-15 06:35:00,2.113,2.114,2.111,2.112,147537
79,2016-04-15 06:40:00,2.107,2.113,2.107,2.112,46037
80,2016-04-15 06:45:00,2.099,2.106,2.099,2.104,62871
81,2016-04-15 06:50:00,2.096,2.098,2.094,2.098,51925
82,2016-04-15 06:55:00,2.094,2.098,2.094,2.098,64865
83,2016-04-15 07:00:00,2.096,2.097,2.093,2.093,61830
84,2016-04-15 07:05:00,2.092,2.095,2.091,2.095,33964
85,2016-04-15 07:10:00,2.091,2.093,2.09,2.093,124906
86,2016-04-15 07:15:00,2.089,2.092,2.089,2.091,89102
87,2016-04-15 07:20:00,2.088,2.09,2.086,2.09,99871
88,2016-04-15 07:25:00,2.09,2.091,2.088,2.089,34885
89,2016-04-15 07:30:00,2.09,2.092,2.087,2.092,84783
90,2016-04-15 07:35:00,2.096,2.096,2.09,2.093,75038
91,2016-04-15 07:40:00,2.096,2.1,2.095,2.096,49038
92,2016-04-15 07:45:00,2.095,2.098,2.092,2.098,195022
93,2016-04-15 07:50:00,2.093,2.097,2.09,2.097,68194
94,2016-04-15 07:55:00,2.09,2.092,2.09,2.092,75987
95,2016-04-15 08:00:00,2.094,2.094,2.088,2.09,46199
96,2016-04-15 08:05:00,2.093,2.096,2.093,2.095,37236
97,2016-04-15 08:10:00,2.091,2.096,2.088,2.096,79960
98,2016-04-15 08:15:00,2.093,2.093,2.09,2.09,18519
99,2016-04-15 08:20:00,2.096,2.096,2.092,2.093,97295
100,2016-04-15 08:25:00,2.093,2.096,2.093,2.096,86485
101,2016-04-15 08:30:00,2.094,2.097,2.094,2.095,76894
102,2016-04-18 00:05:00,2.036,2.065,2.036,2.059,284935
103,2016-04-18 00:10:00,2.045,2.05,2.037,2.039,44323
104,2016-04-18 00:15:00,2.055,2.056,2.051,2.051,19085
105,2016-04-18 00:20:00,2.05,2.052,2.045,2.05,21258
106,2016-04-18 00:25:00,2.049,2.055,2.046,2.049,41580
107,2016-04-18 00:30:00,2.05,2.053,2.049,2.05,31901
108,2016-04-18 00:35:00,2.056,2.06,2.05,2.05,20541
109,2016-04-18 00:40:00,2.065,2.067,2.06,2.06,32037
110,2016-04-18 00:45:00,2.062,2.07,2.062,2.064,23489
111,2016-04-18 00:50:00,2.071,2.071,2.06,2.064,84469
112,2016-04-18 00:55:00,2.079,2.08,2.068,2.068,118329
113,2016-04-18 01:00:00,2.079,2.083,2.076,2.08,21693
114,2016-04-18 01:05:00,2.08,2.084,2.076,2.079,36669
115,2016-04-18 01:10:00,2.071,2.082,2.071,2.08,49585
116,2016-04-18 01:15:00,2.07,2.07,2.066,2.07,22781
117,2016-04-18 01:20:00,2.064,2.069,2.064,2.069,17496
118,2016-04-18 01:25:00,2.064,2.065,2.059,2.063,76862
119,2016-04-18 01:30:00,2.06,2.062,2.06,2.062,53060
120,2016-04-18 01:35:00,2.066,2.068,2.06,2.06,12802
121,2016-04-18 01:40:00,2.076,2.078,2.069,2.069,39151
122,2016-04-18 01:45:00,2.081,2.085,2.08,2.08,28341
123,2016-04-18 01:50:00,2.09,2.09,2.081,2.083,43080
124,2016-04-18 01:55:00,2.079,2.087,2.079,2.087,55998
125,2016-04-18 02:00:00,2.078,2.082,2.078,2.081,9329
126,2016-04-18 02:05:00,2.085,2.085,2.078,2.079,16498
127,2016-04-18 02:10:00,2.083,2.088,2.083,2.086,24482
128,2016-04-18 02:15:00,2.087,2.087,2.083,2.085,9215
129,2016-04-18 02:20:00,2.084,2.088,2.083,2.088,56188
130,2016-04-18 02:25:00,2.09,2.092,2.084,2.084,36976
131,2016-04-18 02:30:00,2.088,2.09,2.087,2.09,29445
132,2016-04-18 02:35:00,2.087,2.088,2.083,2.088,38614
133,2016-04-18 02:40:00,2.085,2.085,2.085,2.085,4000
134,2016-04-18 02:45:00,2.085,2.085,2.083,2.084,8273
135,2016-04-18 02:50:00,2.085,2.085,2.085,2.085,108
136,2016-04-18 02:55:00,2.084,2.086,2.083,2.084,13856
137,2016-04-18 03:00:00,2.087,2.087,2.083,2.084,45255
138,2016-04-18 03:05:00,2.087,2.089,2.086,2.086,9684
139,2016-04-18 03:10:00,2.091,2.095,2.09,2.09,34397
140,2016-04-18 03:15:00,2.089,2.096,2.089,2.091,103117
141,2016-04-18 03:20:00,2.089,2.09,2.089,2.09,14646
142,2016-04-18 03:25:00,2.085,2.09,2.085,2.09,8702
143,2016-04-18 03:30:00,2.087,2.087,2.085,2.087,18124
