,Datetime,Close,High,Low,Open,Volume
0,2016-04-15 06:30:00,0.58,0.58,0.58,0.58,10000
1,2016-04-15 07:05:00,0.59,0.59,0.59,0.59,2500
2,2016-04-15 07:25:00,0.59,0.59,0.59,0.59,500
3,2016-04-15 07:30:00,0.58,0.58,0.58,0.58,3500
4,2016-04-15 08:15:00,0.58,0.58,0.58,0.58,500
5,2016-04-15 10:15:00,0.6,0.6,0.6,0.6,2000
6,2016-04-15 12:10:00,0.6,0.6,0.6,0.6,2000
7,2016-04-15 12:30:00,0.6,0.6,0.6,0.6,1000
8,2016-04-15 12:40:00,0.59,0.59,0.59,0.59,2000
9,2016-04-15 13:00:00,0.61,0.61,0.61,0.61,500
10,2016-04-18 06:35:00,0.63,0.64,0.63,0.64,77500
11,2016-04-18 06:40:00,0.63,0.63,0.63,0.63,3000
12,2016-04-18 06:45:00,0.63,0.64,0.63,0.64,3000
13,2016-04-18 07:20:00,0.64,0.64,0.64,0.64,5000
14,2016-04-18 09:05:00,0.64,0.64,0.64,0.64,6500
15,2016-04-18 09:20:00,0.64,0.64,0.64,0.64,3000
16,2016-04-18 09:25:00,0.64,0.64,0.64,0.64,43500
17,2016-04-18 09:30:00,0.64,0.64,0.64,0.64,3000
18,2016-04-18 09:40:00,0.64,0.64,0.64,0.64,10000
19,2016-04-18 10:00:00,0.64,0.64,0.64,0.64,500
20,2016-04-18 10:30:00,0.63,0.63,0.63,0.63,500
21,2016-04-18 10:40:00,0.64,0.64,0.63,0.63,9500
22,2016-04-18 11:00:00,0.64,0.64,0.64,0.64,77500
23,2016-04-18 11:05:00,0.64,0.64,0.64,0.64,70000
24,2016-04-18 11:20:00,0.64,0.64,0.64,0.64,42000
25,2016-04-18 12:10:00,0.64,0.64,0.64,0.64,50000
26,2016-04-18 12:15:00,0.65,0.65,0.65,0.65,25000
27,2016-04-18 12:25:00,0.64,0.64,0.64,0.64,7500
28,2016-04-18 12:35:00,0.64,0.64,0.64,0.64,26500
29,2016-04-18 12:40:00,0.64,0.64,0.64,0.64,13000
30,2016-04-18 12:45:00,0.64,0.64,0.64,0.64,50000
31,2016-04-18 12:50:00,0.64,0.64,0.64,0.64,40500
32,2016-04-18 13:00:00,0.64,0.64,0.64,0.64,500
33,2016-04-19 06:30:00,0.65,0.65,0.65,0.65,20000
34,2016-04-19 06:40:00,0.64,0.64,0.64,0.64,13500
35,2016-04-19 07:05:00,0.65,0.65,0.65,0.65,2000
36,2016-04-19 07:55:00,0.64,0.64,0.64,0.64,15000
37,2016-04-19 08:15:00,0.63,0.64,0.63,0.64,14500
38,2016-04-19 08:20:00,0.62,0.62,0.62,0.62,26000
39,2016-04-19 08:40:00,0.61,0.61,0.61,0.61,3000
40,2016-04-19 08:45:00,0.63,0.63,0.63,0.63,2000
41,2016-04-19 09:00:00,0.61,0.61,0.61,0.61,500
42,2016-04-19 10:20:00,0.63,0.63,0.63,0.63,500
43,2016-04-19 10:50:00,0.63,0.63,0.63,0.63,500
44,2016-04-19 11:10:00,0.63,0.63,0.63,0.63,4000
45,2016-04-19 11:15:00,0.63,0.63,0.63,0.63,500
46,2016-04-19 12:20:00,0.62,0.62,0.62,0.62,2500
47,2016-04-20 06:30:00,0.61,0.61,0.61,0.61,500
48,2016-04-20 06:35:00,0.6,0.62,0.6,0.62,5000
49,2016-04-20 06:50:00,0.6,0.62,0.6,0.62,37500
50,2016-04-20 07:00:00,0.61,0.61,0.61,0.61,1000
51,2016-04-20 07:45:00,0.61,0.61,0.61,0.61,5000
52,2016-04-20 08:20:00,0.61,0.61,0.61,0.61,5000
53,2016-04-20 09:55:00,0.61,0.61,0.61,0.61,2500
54,2016-04-20 10:10:00,0.61,0.61,0.61,0.61,15500
55,2016-04-20 10:25:00,0.61,0.61,0.61,0.61,1500
56,2016-04-20 10:30:00,0.61,0.61,0.61,0.61,500
57,2016-04-20 12:20:00,0.6,0.6,0.6,0.6,3500
58,2016-04-20 12:40:00,0.61,0.61,0.61,0.61,8500
59,2016-04-20 12:45:00,0.61,0.61,0.61,0.61,15000
60,2016-04-21 08:05:00,0.62,0.62,0.62,0.62,26000
61,2016-04-21 08:20:00,0.62,0.62,0.62,0.62,10000
62,2016-04-21 08:30:00,0.63,0.63,0.62,0.62,20000
63,2016-04-21 09:15:00,0.61,0.61,0.61,0.61,5000
64,2016-04-21 09:20:00,0.61,0.61,0.61,0.61,2000
65,2016-04-21 09:50:00,0.61,0.61,0.61,0.61,2500
66,2016-04-21 10:10:00,0.63,0.63,0.63,0.63,1000
67,2016-04-21 12:00:00,0.63,0.63,0.63,0.63,7500
68,2016-04-21 12:30:00,0.62,0.63,0.62,0.63,8500
69,2016-04-21 12:35:00,0.64,0.64,0.64,0.64,3000
70,2016-04-21 13:00:00,0.64,0.64,0.64,0.64,7000
71,2016-04-22 06:30:00,0.62,0.62,0.62,0.62,15000
72,2016-04-22 06:35:00,0.63,0.63,0.63,0.63,9000
73,2016-04-22 06:40:00,0.63,0.63,0.63,0.63,2000
74,2016-04-22 07:10:00,0.63,0.63,0.63,0.63,1000
75,2016-04-22 07:50:00,0.62,0.62,0.62,0.62,10000
76,2016-04-22 07:55:00,0.62,0.62,0.62,0.62,5000
77,2016-04-22 11:30:00,0.62,0.62,0.62,0.62,2000
78,2016-04-22 12:10:00,0.62,0.62,0.62,0.62,20000
79,2016-04-22 12:55:00,0.62,0.62,0.62,0.62,20000
80,2016-04-25 06:30:00,0.63,0.63,0.63,0.63,1500
81,2016-04-25 06:35:00,0.63,0.63,0.63,0.63,17500
82,2016-04-25 06:40:00,0.62,0.62,0.62,0.62,2500
83,2016-04-25 06:45:00,0.62,0.62,0.62,0.62,24000
84,2016-04-25 07:20:00,0.62,0.62,0.62,0.62,1000
85,2016-04-25 07:55:00,0.62,0.62,0.62,0.62,4000
86,2016-04-25 08:00:00,0.62,0.62,0.62,0.62,4500
87,2016-04-25 08:50:00,0.62,0.62,0.62,0.62,15000
88,2016-04-25 10:55:00,0.62,0.62,0.62,0.62,8000
89,2016-04-25 11:10:00,0.61,0.61,0.61,0.61,6500
90,2016-04-26 06:35:00,0.61,0.61,0.61,0.61,15000
91,2016-04-26 06:40:00,0.62,0.62,0.62,0.62,25000
92,2016-04-26 06:45:00,0.6,0.6,0.6,0.6,15000
93,2016-04-26 07:05:00,0.63,0.63,0.63,0.63,14500
94,2016-04-26 08:50:00,0.62,0.62,0.62,0.62,25000
95,2016-04-26 09:45:00,0.62,0.62,0.62,0.62,1500
96,2016-04-26 09:50:00,0.61,0.61,0.61,0.61,8000
97,2016-04-26 10:00:00,0.62,0.62,0.62,0.62,1000
98,2016-04-26 10:05:00,0.62,0.62,0.62,0.62,2500
99,2016-04-26 10:20:00,0.62,0.62,0.62,0.62,27500
100,2016-04-26 12:40:00,0.62,0.62,0.62,0.62,500
101,2016-04-26 13:00:00,0.63,0.63,0.63,0.63,2500
102,2016-04-27 06:35:00,0.63,0.63,0.63,0.63,24000
103,2016-04-27 06:40:00,0.64,0.64,0.64,0.64,26000
104,2016-04-27 09:30:00,0.62,0.62,0.62,0.62,500
105,2016-04-27 11:35:00,0.62,0.62,0.62,0.62,9500
106,2016-04-27 12:00:00,0.62,0.62,0.62,0.62,5000
107,2016-04-27 12:35:00,0.62,0.62,0.62,0.62,5000
108,2016-04-27 12:50:00,0.62,0.62,0.62,0.62,15000
109,2016-04-28 06:45:00,0.62,0.62,0.62,0.62,5000
110,2016-04-28 07:30:00,0.61,0.61,0.61,0.61,2500
111,2016-04-28 08:10:00,0.62,0.62,0.62,0.62,5000
112,2016-04-28 09:05:00,0.61,0.61,0.61,0.61,2500
113,2016-04-28 09:10:00,0.61,0.61,0.61,0.61,9000
114,2016-04-28 10:00:00,0.6,0.6,0.6,0.6,1000
115,2016-04-28 10:30:00,0.59,0.6,0.59,0.6,27500
116,2016-04-28 10:35:00,0.59,0.59,0.59,0.59,20500
117,2016-04-28 11:00:00,0.6,0.6,0.6,0.6,6000
118,2016-04-28 11:05:00,0.6,0.6,0.6,0.6,11000
119,2016-04-28 12:30:00,0.59,0.59,0.59,0.59,2000
120,2016-04-28 12:35:00,0.6,0.6,0.6,0.6,1000
121,2016-04-28 12:50:00,0.59,0.6,0.59,0.6,5000
