,Datetime,Close,High,Low,Open,Volume
0,2016-04-15 06:30:00,56.1,56.1,56.1,56.1,2143
1,2016-04-15 06:35:00,56.16,56.185,55.92,56.185,500
2,2016-04-15 06:40:00,56.12,56.2,56.01,56.19,2300
3,2016-04-15 06:45:00,56.3,56.38,56.09,56.09,5720
4,2016-04-15 06:50:00,56.29,56.37,56.25,56.37,1400
5,2016-04-15 06:55:00,56.31,56.36,56.22,56.27,2792
6,2016-04-15 07:00:00,56.44,56.44,56.35,56.4,1598
7,2016-04-15 07:05:00,56.42,56.48,56.38,56.395,2058
8,2016-04-15 07:10:00,56.44,56.48,56.4,56.42,3533
9,2016-04-15 07:15:00,56.51,56.52,56.44,56.44,1600
10,2016-04-15 07:20:00,56.59,56.59,56.53,56.53,28854
11,2016-04-15 07:25:00,56.71,56.74,56.61,56.61,5186
12,2016-04-15 07:30:00,56.75,56.78,56.7,56.7,3497
13,2016-04-15 07:35:00,56.74,56.76,56.67,56.75,2110
14,2016-04-15 07:40:00,56.76,56.8,56.73,56.73,1500
15,2016-04-15 07:45:00,56.8,56.8492,56.77,56.77,43838
16,2016-04-15 07:50:00,56.8,56.835,56.79,56.79,4700
17,2016-04-15 07:55:00,56.84,56.85,56.78,56.8,4438
18,2016-04-15 08:00:00,56.88,56.88,56.84,56.84,800
19,2016-04-15 08:05:00,56.845,56.87,56.84,56.87,1560
20,2016-04-15 08:10:00,56.85,56.85,56.79,56.83,2210
21,2016-04-15 08:15:00,56.84,56.85,56.83,56.84,2245
22,2016-04-15 08:20:00,56.86,56.86,56.8,56.83,2803
23,2016-04-15 08:25:00,56.83,56.885,56.83,56.86,1000
24,2016-04-15 08:30:00,56.86,56.87,56.84,56.86,1000
25,2016-04-15 08:35:00,56.88,56.8917,56.8799,56.8799,3542
26,2016-04-15 08:40:00,56.93,56.93,56.88,56.88,4090
27,2016-04-15 08:45:00,56.98,57,56.9567,56.9567,5041
28,2016-04-15 08:50:00,57.01,57.01,56.97,57,3932
29,2016-04-15 08:55:00,57.08,57.08,57,57,4174
30,2016-04-15 09:00:00,57.06,57.06,57.06,57.06,100
31,2016-04-15 09:05:00,57.03,57.055,57.03,57.05,2005
32,2016-04-15 09:10:00,57.06,57.06,57.04,57.0499,3104
33,2016-04-15 09:15:00,57.04,57.065,57.04,57.06,1900
34,2016-04-15 09:20:00,57.09,57.1,57.04,57.05,3300
35,2016-04-15 09:25:00,57.14,57.14,57.1,57.1,4356
36,2016-04-15 09:30:00,57.19,57.19,57.15,57.15,1801
37,2016-04-15 09:35:00,57.17,57.19,57.16,57.185,5024
38,2016-04-15 09:40:00,57.14,57.16,57.12,57.145,1103
39,2016-04-15 09:45:00,57.1,57.15,57.1,57.15,4693
40,2016-04-15 09:50:00,57.12,57.12,57.09,57.09,2900
41,2016-04-15 09:55:00,57.14,57.15,57.13,57.13,1900
42,2016-04-15 10:00:00,57.2,57.2,57.13,57.14,4701
43,2016-04-15 10:05:00,57.25,57.25,57.18,57.19,3193
44,2016-04-15 10:10:00,57.25,57.25,57.23,57.23,1700
45,2016-04-15 10:15:00,57.29,57.29,57.27,57.28,2700
46,2016-04-15 10:20:00,57.35,57.35,57.28,57.28,3120
47,2016-04-15 10:25:00,57.39,57.39,57.35,57.35,2800
