"Ticker","Company Name","2015","2014","2013","2012","2011","2010","2009","2008"
"A","Agilent Technologies Inc.","13,888.1","13,755.8","19,068.3","14,212.7","12,142.5","14,293.4","10,812.4","5,396.4"
"AA","Alcoa Inc.","12,931.0","19,211.1","11,384.8","9,263.4","9,207.2","15,729.0","15,707.0","9,011.6"
"AAL","American Airlines Group","26,694.3","37,405.6","6,592.0","N/A","N/A","N/A","N/A","N/A"
"AAP","Advance Auto Parts Inc","11,022.9","11,639.2","8,061.9","5,309.3","5,069.0","5,421.4","3,789.9","3,191.8"
"AAPL","Apple Inc.","586,859.3","643,120.1","500,680.6","499,693.3","377,546.7","297,089.0","190,980.8","75,996.9"
"ABBV","AbbVie Inc.","96,842.4","104,140.5","83,828.5","N/A","N/A","N/A","N/A","N/A"
"ABC","AmerisourceBergen Corp.","21,326.2","19,775.8","16,206.0","9,927.9","9,609.6","9,338.7","7,399.3","5,466.8"
"ABI","Applied Biosystems Inc.","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"ABK","Ambac Financial Group Inc.","N/A","N/A","N/A","N/A","N/A","N/A","238.7","373.4"
"ABT","Abbott Laboratories","66,993.1","67,891.7","59,338.6","103,271.7","88,302.4","74,116.0","83,747.6","82,853.3"
"ACAS","American Capital Ltd.","N/A","3,899.4","4,225.9","3,658.9","2,214.8","2,588.5","685.4","663.2"
"ACE","ACE Limited","37,880.5","37,756.5","35,178.9","27,157.6","23,625.3","20,850.2","16,960.9","17,656.5"
"ACN","Accenture plc","65,292.1","56,098.2","52,373.3","42,848.2","34,450.9","31,064.0","26,245.6","19,915.0"
"ACS","ACS Inc.","N/A","N/A","N/A","N/A","N/A","N/A","5,828.3","4,469.0"
"ADBE","Adobe Systems Inc.","46,857.2","36,167.1","29,716.1","18,618.9","13,895.8","15,448.4","19,223.3","11,200.9"
"ADI","Analog Devices Inc.","17,263.2","17,301.5","15,917.1","12,869.7","10,656.4","11,286.3","9,401.1","5,539.2"
"ADM","Archer-Daniels-Midland Co.","21,888.4","33,124.0","28,600.6","18,038.1","18,933.2","19,161.0","20,132.3","18,505.7"
"ADP","ADP, LLC.","39,073.5","39,775.8","38,897.1","27,594.0","26,416.3","22,871.6","21,534.2","19,827.4"
