Date,Open,High,Low,Close,Volume
2003-01-02,18.99,19.82,19.0,19.73,23513543
2003-01-03,19.59,20.09,19.55,19.95,20585542
2003-01-06,19.92,20.88,20.03,20.64,28338507
2003-01-07,20.62,21.24,20.5,21.01,34197900
2003-01-08,20.69,20.95,20.32,20.47,25714658
2003-01-09,20.64,21.44,20.75,21.27,28985898
2003-01-10,21.04,21.64,20.88,21.45,26056457
2003-01-13,21.53,21.9,21.27,21.4,25514983
2003-01-14,21.36,21.83,21.37,21.71,25389989
2003-01-15,21.64,21.93,21.31,21.46,30456788
2003-01-16,21.23,21.63,20.92,21.07,34531178
2003-01-17,20.31,20.54,19.93,20.02,36671041
2003-01-21,19.86,20.27,19.75,19.85,26434704
2003-01-22,19.59,20.16,19.59,19.78,27838771
2003-01-23,20.09,20.76,20.09,20.56,29807091
2003-01-24,20.28,20.47,19.73,19.82,30303872
2003-01-27,19.3,19.97,19.29,19.62,32196238
2003-01-28,19.51,20.2,19.48,19.96,28307303
2003-01-29,19.61,20.23,19.46,20.11,31934561
2003-01-30,20.01,20.39,19.58,19.65,29896915
2003-01-31,19.34,19.83,19.18,19.67,32463755
2003-02-03,19.59,19.94,19.45,19.72,23851960
2003-02-04,19.35,19.74,19.2,19.45,26588636
2003-02-05,19.4,19.97,19.32,19.46,26302742
2003-02-06,19.21,19.61,19.13,19.39,22920708
2003-02-07,19.34,19.65,19.09,19.21,24955110
2003-02-10,19.08,19.57,19.03,19.47,23078375
2003-02-11,19.44,19.87,19.31,19.43,25986954
2003-02-12,19.31,19.71,19.24,19.29,23213765
2003-02-13,19.19,19.47,18.82,19.21,28693636
2003-02-14,19.14,19.75,18.95,19.59,30160631
2003-02-18,19.57,20.25,19.68,20.16,25671560
2003-02-19,19.96,20.25,19.82,20.05,21632819
2003-02-20,19.99,20.3,19.86,20.01,22305420
2003-02-21,19.84,20.27,19.55,20.14,23648202
2003-02-24,19.84,20.19,19.7,19.79,22154853
2003-02-25,19.33,19.89,19.19,19.8,24562145
2003-02-26,19.52,19.86,19.24,19.28,22792108
2003-02-27,19.16,19.61,19.05,19.3,24311573
2003-02-28,19.27,19.69,19.22,19.5,23448187
2003-03-03,19.54,19.82,19.19,19.28,21818922
2003-03-04,19.1,19.4,18.91,19.02,20161172
2003-03-05,18.86,19.33,18.83,19.16,23380260
2003-03-06,18.88,19.29,18.82,19.12,19742578
2003-03-07,18.68,19.27,18.62,19.11,25762685
2003-03-10,18.73,18.96,18.44,18.54,19882466
2003-03-11,18.49,18.81,18.4,18.55,21056045
2003-03-12,18.46,18.94,18.32,18.83,25756016
2003-03-13,18.87,19.9,18.91,19.83,34297031
2003-03-14,19.85,20.23,19.68,19.97,28541899
2003-03-17,19.59,20.99,19.65,20.8,37766548
2003-03-18,20.66,20.98,20.43,20.82,27963820
2003-03-19,20.54,20.85,20.29,20.63,31511659
2003-03-20,20.4,21.02,20.34,20.87,27025118
2003-03-21,20.86,21.32,20.7,21.11,34039569
2003-03-24,20.38,20.7,20.23,20.3,23942726
2003-03-25,20.12,20.7,20.1,20.53,24328455
2003-03-26,20.34,20.63,20.15,20.33,20632224
2003-03-27,20.0,20.49,19.98,20.27,19474976
2003-03-28,19.96,20.4,19.92,20.04,16399239
2003-03-31,19.37,19.8,19.23,19.37,27850779
2003-04-01,19.36,19.73,19.32,19.46,20809188
2003-04-02,19.78,20.57,19.78,20.32,28239017
2003-04-03,20.33,20.8,20.21,20.4,23308433
2003-04-04,20.26,20.48,19.65,20.0,21419815
2003-04-07,20.5,20.94,20.14,20.24,25161938
2003-04-08,20.12,20.41,19.77,20.04,22755694
2003-04-09,19.94,20.31,19.63,19.74,24841637
2003-04-10,19.63,19.96,19.55,19.85,17364117
2003-04-11,20.01,20.42,19.63,19.79,45700419
2003-04-14,19.64,20.24,19.59,20.2,25949732
2003-04-15,20.14,20.73,20.01,20.56,25951688
2003-04-16,20.86,21.34,20.66,20.87,50255698
2003-04-17,20.71,21.53,20.68,21.45,34199789
2003-04-21,21.3,21.67,21.18,21.37,19069864
2003-04-22,21.01,21.88,21.05,21.76,27538269
2003-04-23,21.6,21.97,21.44,21.79,24740937
2003-04-24,21.45,21.81,21.39,21.57,26871396
2003-04-25,21.24,21.49,20.93,21.04,23462326
2003-04-28,20.86,21.55,20.92,21.4,30837901
2003-04-29,21.35,21.93,21.38,21.68,30070392
2003-04-30,21.47,21.76,21.24,21.44,30014837
2003-05-01,21.27,21.87,21.29,21.74,23669708
2003-05-02,21.52,22.32,21.49,22.24,26039339
2003-05-05,22.11,22.54,22.0,22.16,49948490
